,AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,Unnamed: 23,Unnamed: 24,Unnamed: 25,Contador,15289,Unnamed: 28,Unnamed: 29,ACTIVIDAD.1,2,Unnamed: 32,SIEMBRA,3,FUMIGADA,2.1,ABONADA,74,RENOVADA,292,CORTE,624,HENOLAJE,645,DESBROSADA,695,ROTOBO,1695,RIEGO,2175,ENMIENDA,2340,ENCALADO,2485,PASTOREO,832,INTERSIEMBRA,9197,RASTRILLO,9677
0,1900,1,EL RECODO,6,,FUMIGADA,1900-01-04 09:36:00,RAUDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016,10,JUNCAL,3,,SIEMBRA,2016-10-05 00:00:00,SABANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,10,JUNCAL,5,,SIEMBRA,2016-10-10 00:00:00,SABANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016,11,LA ISLA,17,9896,FUMIGADA,2016-11-12 00:00:00,12/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016,11,LA ISLA,21,5037,FUMIGADA,2016-11-14 00:00:00,14/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016,11,JUNCAL,17,10827,FUMIGADA,2016-11-16 00:00:00,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2016,11,LA ISLA,15,7587,FUMIGADA,2016-11-16 00:00:00,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2016,11,LA ISLA,27,7359,FUMIGADA,2016-11-16 00:00:00,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2016,11,JUNCAL,18,12264,FUMIGADA,2016-11-21 00:00:00,21/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2016,11,LA ISLA,26,5015,FUMIGADA,2016-11-21 00:00:00,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2016,11,LA ISLA,28,16304,FUMIGADA,2016-11-21 00:00:00,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2016,11,LA ISLA,29,14810,FUMIGADA,2016-11-21 00:00:00,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2016,11,JUNCAL,19,16499,FUMIGADA,2016-11-28 00:00:00,28/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2016,11,JUNCAL,20,17387,FUMIGADA,2016-11-29 00:00:00,29/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2016,11,JUNCAL,21,15900,FUMIGADA,2016-11-29 00:00:00,29/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2016,12,JUNCAL,1,15501,FUMIGADA,2016-12-05 00:00:00,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2016,12,JUNCAL,2,17504,FUMIGADA,2016-12-05 00:00:00,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2016,12,MANGA LARGA,7,5983,FUMIGADA,2016-12-05 00:00:00,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2016,12,JUNCAL,3,15720,FUMIGADA,2016-12-07 00:00:00,7/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2016,12,PARAISO,1,12671,FUMIGADA,2016-12-07 00:00:00,7/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2016,12,LA ISLA,19,5951,FUMIGADA,2016-12-12 00:00:00,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2016,12,LA ISLA,20,5703,FUMIGADA,2016-12-12 00:00:00,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2016,12,LA ISLA,22,5001,FUMIGADA,2016-12-12 00:00:00,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2016,12,LA ISLA,25,7917,FUMIGADA,2016-12-12 00:00:00,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2016,12,LA ISLA,33,8074,FUMIGADA,2016-12-12 00:00:00,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2016,12,PARAISO,3,14421,FUMIGADA,2016-12-12 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2016,12,JUNCAL,4,13510,FUMIGADA,2016-12-13 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2016,12,JUNCAL,5,12257,FUMIGADA,2016-12-13 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2016,12,LA ISLA,4,5235,FUMIGADA,2016-12-13 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2016,12,PARAISO,2,13855,FUMIGADA,2016-12-13 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2016,12,PARAISO,4,16291,FUMIGADA,2016-12-13 00:00:00,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
